crime_id,district,police_station,crime_type,date,latitude,longitude,victim_age,offender_age,status,repeat_offender
CR000001,Kalaburagi,Kalaburagi PS 4,Vehicle Theft,2023-09-28,17.362084,76.910451,56,36,Closed,0
CR000002,Ballari,Ballari PS 5,Assault,2025-05-21,15.110356,76.895142,38,50,Charge Sheet Filed,0
CR000003,Tumakuru,Tumakuru PS 1,Cybercrime,2023-02-28,13.314309,77.095126,33,32,Under Investigation,0
CR000004,Belagavi,Belagavi PS 4,Robbery,2023-09-01,15.822481,74.503246,68,24,Open,0
CR000005,Mysuru,Mysuru PS 4,Theft,2023-11-12,12.194464,76.695371,43,19,Charge Sheet Filed,0
CR000006,Kalaburagi,Kalaburagi PS 4,Vehicle Theft,2025-02-14,17.370827,76.773258,19,23,Under Investigation,0
CR000007,Mangaluru,Mangaluru PS 5,Robbery,2024-02-06,12.925032,74.900088,65,32,Charge Sheet Filed,0
CR000008,Tumakuru,Tumakuru PS 5,Drug Offence,2025-01-18,13.379585,77.074093,43,42,Charge Sheet Filed,0
CR000009,Tumakuru,Tumakuru PS 5,Robbery,2025-03-23,13.307054,77.131584,41,28,Closed,0
CR000010,Belagavi,Belagavi PS 3,Theft,2024-01-14,15.839342,74.466526,58,45,Closed,1
CR000011,Mysuru,Mysuru PS 1,Drug Offence,2024-05-17,12.240483,76.57959,52,61,Charge Sheet Filed,0
CR000012,Belagavi,Belagavi PS 1,Cybercrime,2024-09-04,15.803012,74.53691,31,56,Closed,0
CR000013,Vijayapura,Vijayapura PS 2,Assault,2024-04-05,16.837724,75.704329,66,49,Charge Sheet Filed,1
CR000014,Kalaburagi,Kalaburagi PS 5,Robbery,2023-06-20,17.410846,76.875487,45,19,Under Investigation,1
CR000015,Tumakuru,Tumakuru PS 5,Fraud,2025-03-06,13.314412,77.126663,47,28,Charge Sheet Filed,1
CR000016,Tumakuru,Tumakuru PS 1,Theft,2024-01-12,13.273431,77.050046,23,25,Closed,0
CR000017,Shivamogga,Shivamogga PS 1,Cybercrime,2023-08-22,13.952547,75.559797,71,49,Charge Sheet Filed,0
CR000018,Dharwad,Dharwad PS 1,Fraud,2024-05-11,15.416599,74.966676,56,19,Closed,0
CR000019,Bengaluru Urban,Bengaluru PS 1,Cybercrime,2023-04-23,12.968381,77.611845,40,54,Charge Sheet Filed,1
CR000020,Belagavi,Belagavi PS 2,Vehicle Theft,2024-11-14,15.947952,74.400704,72,21,Closed,0
CR000021,Bengaluru Urban,Bengaluru PS 5,Assault,2024-09-01,13.000943,77.704123,65,33,Open,0
CR000022,Mangaluru,Mangaluru PS 5,Cybercrime,2024-10-21,12.859262,74.821885,43,20,Closed,0
CR000023,Kalaburagi,Kalaburagi PS 4,Theft,2024-10-01,17.392147,76.837582,28,45,Open,0
CR000024,Kalaburagi,Kalaburagi PS 2,Cybercrime,2023-09-20,17.381893,76.860622,74,19,Open,0
CR000025,Shivamogga,Shivamogga PS 5,Drug Offence,2023-01-09,13.978141,75.514858,33,20,Charge Sheet Filed,1
CR000026,Ballari,Ballari PS 1,Drug Offence,2024-09-19,15.150714,76.96377,52,42,Closed,1
CR000027,Mysuru,Mysuru PS 2,Burglary,2025-04-01,12.303333,76.638614,53,50,Charge Sheet Filed,0
CR000028,Shivamogga,Shivamogga PS 4,Drug Offence,2025-06-14,13.973261,75.616021,50,29,Closed,0
CR000029,Kalaburagi,Kalaburagi PS 5,Cybercrime,2024-03-13,17.322655,76.877908,38,47,Open,0
CR000030,Bengaluru Urban,Bengaluru PS 5,Assault,2025-04-08,13.110797,77.593041,66,34,Charge Sheet Filed,1
CR000031,Shivamogga,Shivamogga PS 3,Assault,2025-01-14,13.92352,75.58518,63,48,Closed,1
CR000032,Dharwad,Dharwad PS 5,Vehicle Theft,2023-06-10,15.412598,74.982152,42,59,Closed,1
CR000033,Belagavi,Belagavi PS 2,Drug Offence,2025-05-03,15.784415,74.460162,59,19,Under Investigation,0
CR000034,Bengaluru Urban,Bengaluru PS 1,Cybercrime,2023-09-03,12.902717,77.547709,72,43,Closed,0
CR000035,Ballari,Ballari PS 5,Assault,2024-05-20,15.111603,76.915013,68,40,Closed,0
CR000036,Mysuru,Mysuru PS 3,Theft,2024-11-28,12.206375,76.657265,39,59,Under Investigation,0
CR000037,Shivamogga,Shivamogga PS 1,Drug Offence,2023-02-22,13.99042,75.560538,49,47,Closed,0
CR000038,Ballari,Ballari PS 4,Drug Offence,2023-09-26,15.13404,76.897089,36,45,Under Investigation,0
CR000039,Shivamogga,Shivamogga PS 2,Vehicle Theft,2025-04-09,13.955149,75.611388,70,18,Under Investigation,1
CR000040,Mysuru,Mysuru PS 1,Drug Offence,2023-08-25,12.314665,76.721968,39,46,Closed,0
CR000041,Vijayapura,Vijayapura PS 3,Vehicle Theft,2023-03-27,16.852391,75.748732,29,33,Under Investigation,0
CR000042,Shivamogga,Shivamogga PS 4,Theft,2023-09-11,13.830152,75.50309,27,22,Charge Sheet Filed,0
CR000043,Vijayapura,Vijayapura PS 2,Cybercrime,2024-03-17,16.989552,75.714208,62,21,Charge Sheet Filed,0
CR000044,Kalaburagi,Kalaburagi PS 2,Theft,2025-06-14,17.388322,76.86087,29,52,Charge Sheet Filed,0
CR000045,Belagavi,Belagavi PS 3,Vehicle Theft,2023-09-25,15.871666,74.492275,27,60,Charge Sheet Filed,0
CR000046,Mysuru,Mysuru PS 5,Cybercrime,2025-01-23,12.271478,76.64978,25,46,Under Investigation,0
CR000047,Mysuru,Mysuru PS 3,Theft,2023-07-15,12.243652,76.705724,28,46,Charge Sheet Filed,0
CR000048,Shivamogga,Shivamogga PS 5,Theft,2024-11-06,13.957487,75.532594,52,52,Charge Sheet Filed,0
CR000049,Bengaluru Urban,Bengaluru PS 5,Assault,2024-01-04,13.028819,77.637493,52,58,Under Investigation,1
CR000050,Dharwad,Dharwad PS 1,Fraud,2024-02-01,15.446939,75.050499,29,58,Closed,0
CR000051,Kalaburagi,Kalaburagi PS 4,Fraud,2025-01-04,17.33455,76.864058,64,33,Open,0
CR000052,Tumakuru,Tumakuru PS 4,Cybercrime,2024-04-13,13.379434,77.134353,74,56,Open,1
CR000053,Vijayapura,Vijayapura PS 2,Vehicle Theft,2023-06-12,16.814745,75.750191,35,64,Charge Sheet Filed,0
CR000054,Vijayapura,Vijayapura PS 4,Theft,2023-09-10,16.817279,75.769174,57,59,Open,1
CR000055,Vijayapura,Vijayapura PS 2,Vehicle Theft,2023-01-29,16.757796,75.639627,69,34,Closed,1
CR000056,Dharwad,Dharwad PS 4,Fraud,2023-09-09,15.357046,75.086302,43,36,Closed,0
CR000057,Mysuru,Mysuru PS 4,Fraud,2023-02-27,12.338397,76.677817,58,56,Open,0
CR000058,Tumakuru,Tumakuru PS 4,Theft,2024-02-13,13.32374,77.123884,23,61,Open,1
CR000059,Shivamogga,Shivamogga PS 5,Cybercrime,2025-02-02,13.934784,75.52945,37,35,Closed,0
CR000060,Bengaluru Urban,Bengaluru PS 5,Fraud,2025-06-04,13.043438,77.559515,28,29,Under Investigation,1
CR000061,Ballari,Ballari PS 4,Drug Offence,2024-10-29,15.090039,76.896842,53,43,Charge Sheet Filed,0
CR000062,Mysuru,Mysuru PS 4,Assault,2025-05-18,12.312888,76.733209,50,37,Open,0
CR000063,Belagavi,Belagavi PS 5,Fraud,2024-08-16,15.933934,74.411184,42,19,Under Investigation,1
CR000064,Mysuru,Mysuru PS 3,Vehicle Theft,2023-01-05,12.292119,76.625289,18,35,Charge Sheet Filed,1
CR000065,Shivamogga,Shivamogga PS 2,Robbery,2023-08-05,13.924173,75.629991,52,18,Open,0
CR000066,Mangaluru,Mangaluru PS 4,Theft,2024-12-09,12.989912,74.871623,54,27,Under Investigation,0
CR000067,Shivamogga,Shivamogga PS 1,Fraud,2023-01-01,13.935915,75.593822,18,57,Charge Sheet Filed,0
CR000068,Ballari,Ballari PS 2,Burglary,2024-11-04,15.203173,76.916822,67,29,Open,0
CR000069,Shivamogga,Shivamogga PS 3,Theft,2024-02-05,13.962169,75.636532,19,28,Closed,1
CR000070,Mysuru,Mysuru PS 2,Burglary,2025-04-29,12.236637,76.537438,51,55,Open,0
CR000071,Kalaburagi,Kalaburagi PS 2,Cybercrime,2023-03-22,17.328964,76.87412,37,41,Open,1
CR000072,Shivamogga,Shivamogga PS 2,Vehicle Theft,2023-05-06,13.864677,75.601584,68,64,Open,0
CR000073,Mangaluru,Mangaluru PS 4,Drug Offence,2025-06-18,12.951468,74.841465,20,44,Open,1
CR000074,Vijayapura,Vijayapura PS 3,Cybercrime,2025-02-27,16.803687,75.670356,39,38,Under Investigation,0
CR000075,Tumakuru,Tumakuru PS 4,Burglary,2023-02-15,13.343774,76.98686,62,44,Open,0
CR000076,Tumakuru,Tumakuru PS 3,Robbery,2023-02-17,13.335284,77.089952,18,25,Open,0
CR000077,Dharwad,Dharwad PS 2,Assault,2023-03-19,15.541148,74.995348,31,24,Closed,1
CR000078,Mysuru,Mysuru PS 2,Fraud,2025-01-08,12.252238,76.628063,72,54,Charge Sheet Filed,0
CR000079,Tumakuru,Tumakuru PS 1,Robbery,2023-03-27,13.302239,77.083461,34,30,Charge Sheet Filed,0
CR000080,Vijayapura,Vijayapura PS 3,Theft,2023-04-19,16.958866,75.678799,39,51,Closed,0
CR000081,Bengaluru Urban,Bengaluru PS 4,Cybercrime,2024-07-07,12.927819,77.52546,43,51,Closed,0
CR000082,Mangaluru,Mangaluru PS 5,Theft,2023-10-16,12.903788,74.742102,47,28,Under Investigation,0
CR000083,Ballari,Ballari PS 1,Robbery,2025-06-17,15.014262,76.955632,53,41,Closed,1
CR000084,Dharwad,Dharwad PS 4,Cybercrime,2023-01-04,15.548658,75.004075,74,19,Closed,0
CR000085,Vijayapura,Vijayapura PS 3,Vehicle Theft,2023-10-27,16.784715,75.741931,37,29,Closed,0
CR000086,Mangaluru,Mangaluru PS 5,Fraud,2023-05-19,12.904202,74.879841,20,50,Under Investigation,0
CR000087,Vijayapura,Vijayapura PS 5,Robbery,2024-10-11,16.800102,75.748013,54,26,Open,0
CR000088,Ballari,Ballari PS 3,Fraud,2023-04-05,15.147886,76.92587,29,52,Closed,1
CR000089,Mangaluru,Mangaluru PS 4,Drug Offence,2023-12-15,12.93098,74.835406,31,47,Closed,0
CR000090,Shivamogga,Shivamogga PS 3,Cybercrime,2023-03-19,13.819495,75.586139,62,59,Open,0
CR000091,Ballari,Ballari PS 3,Vehicle Theft,2024-02-26,15.023082,76.99694,50,42,Open,1
CR000092,Kalaburagi,Kalaburagi PS 2,Fraud,2025-03-31,17.341481,76.872843,68,23,Under Investigation,0
CR000093,Belagavi,Belagavi PS 2,Drug Offence,2024-05-14,15.875169,74.560066,69,47,Closed,0
CR000094,Mangaluru,Mangaluru PS 1,Theft,2024-02-15,12.989589,74.876102,27,50,Under Investigation,1
CR000095,Dharwad,Dharwad PS 5,Drug Offence,2024-11-26,15.617622,75.016912,46,64,Charge Sheet Filed,0
CR000096,Mysuru,Mysuru PS 3,Robbery,2024-09-18,12.316472,76.73324,60,44,Open,1
CR000097,Vijayapura,Vijayapura PS 2,Fraud,2023-12-29,16.844198,75.653726,35,42,Open,0
CR000098,Dharwad,Dharwad PS 4,Vehicle Theft,2025-06-06,15.428768,75.072892,26,46,Under Investigation,1
CR000099,Mangaluru,Mangaluru PS 3,Robbery,2025-02-07,13.041035,74.882198,38,64,Open,0
CR000100,Vijayapura,Vijayapura PS 4,Theft,2023-04-27,16.784438,75.722305,69,42,Under Investigation,1
CR000101,Mysuru,Mysuru PS 2,Cybercrime,2024-02-22,12.303868,76.678174,61,41,Open,0
CR000102,Mangaluru,Mangaluru PS 5,Drug Offence,2023-06-10,12.968123,74.763755,39,43,Charge Sheet Filed,0
CR000103,Bengaluru Urban,Bengaluru PS 1,Assault,2023-12-27,12.958156,77.539274,45,57,Open,0
CR000104,Kalaburagi,Kalaburagi PS 3,Cybercrime,2024-12-23,17.307299,76.728095,66,62,Open,0
CR000105,Ballari,Ballari PS 3,Burglary,2025-02-07,15.126651,76.9966,19,45,Open,0
CR000106,Mangaluru,Mangaluru PS 3,Robbery,2024-10-05,12.928592,74.843259,56,20,Charge Sheet Filed,0
CR000107,Belagavi,Belagavi PS 2,Assault,2023-03-28,15.836859,74.548914,74,20,Charge Sheet Filed,0
CR000108,Ballari,Ballari PS 1,Robbery,2023-08-17,15.164424,76.868737,64,25,Under Investigation,1
CR000109,Ballari,Ballari PS 3,Drug Offence,2024-03-27,15.054737,76.876373,35,24,Under Investigation,0
CR000110,Kalaburagi,Kalaburagi PS 5,Cybercrime,2024-09-15,17.346007,76.771744,35,19,Open,1
CR000111,Dharwad,Dharwad PS 3,Burglary,2024-01-21,15.442433,75.002959,37,22,Open,0
CR000112,Tumakuru,Tumakuru PS 2,Vehicle Theft,2025-05-16,13.389491,77.099452,49,34,Under Investigation,0
CR000113,Tumakuru,Tumakuru PS 2,Vehicle Theft,2023-10-08,13.309757,77.080093,60,63,Charge Sheet Filed,0
CR000114,Mysuru,Mysuru PS 5,Cybercrime,2025-04-17,12.21432,76.666993,34,54,Open,0
CR000115,Kalaburagi,Kalaburagi PS 5,Burglary,2023-12-08,17.342501,76.883435,29,62,Open,0
CR000116,Vijayapura,Vijayapura PS 5,Theft,2024-04-20,16.809265,75.782746,19,60,Open,0
CR000117,Dharwad,Dharwad PS 3,Burglary,2023-01-29,15.382699,74.967878,53,56,Charge Sheet Filed,0
CR000118,Mysuru,Mysuru PS 5,Drug Offence,2023-10-16,12.310688,76.553423,36,52,Charge Sheet Filed,0
CR000119,Mysuru,Mysuru PS 1,Burglary,2024-03-25,12.294051,76.72794,60,57,Under Investigation,0
CR000120,Belagavi,Belagavi PS 3,Burglary,2023-08-17,15.898986,74.467977,66,34,Under Investigation,0
CR000121,Bengaluru Urban,Bengaluru PS 4,Fraud,2024-08-14,12.99061,77.625129,38,34,Closed,0
CR000122,Mangaluru,Mangaluru PS 1,Burglary,2023-03-30,12.981842,74.907432,58,62,Under Investigation,0
CR000123,Vijayapura,Vijayapura PS 1,Robbery,2025-03-04,16.871124,75.716692,31,32,Open,0
CR000124,Belagavi,Belagavi PS 2,Cybercrime,2024-12-27,15.882544,74.537282,69,56,Closed,0
CR000125,Vijayapura,Vijayapura PS 1,Fraud,2023-06-08,16.875313,75.609404,62,51,Closed,0
CR000126,Ballari,Ballari PS 2,Robbery,2023-12-30,15.206093,76.937291,21,46,Under Investigation,0
CR000127,Mysuru,Mysuru PS 1,Drug Offence,2024-05-07,12.228327,76.668675,72,52,Under Investigation,1
CR000128,Kalaburagi,Kalaburagi PS 5,Vehicle Theft,2023-10-01,17.303836,76.904767,70,61,Open,0
CR000129,Tumakuru,Tumakuru PS 2,Fraud,2023-12-25,13.427786,77.109424,66,20,Open,0
CR000130,Mysuru,Mysuru PS 4,Burglary,2023-10-20,12.294066,76.651111,66,41,Charge Sheet Filed,0
CR000131,Vijayapura,Vijayapura PS 5,Vehicle Theft,2024-01-15,16.879416,75.699301,63,41,Closed,1
CR000132,Mysuru,Mysuru PS 1,Robbery,2024-07-17,12.288341,76.606429,46,62,Under Investigation,0
CR000133,Mysuru,Mysuru PS 1,Burglary,2025-01-22,12.321564,76.699109,40,26,Closed,0
CR000134,Bengaluru Urban,Bengaluru PS 5,Cybercrime,2024-05-04,12.880059,77.752969,34,41,Closed,1
CR000135,Mangaluru,Mangaluru PS 5,Drug Offence,2025-06-11,13.031969,74.902892,31,54,Under Investigation,0
CR000136,Ballari,Ballari PS 3,Cybercrime,2024-06-24,15.153693,76.938123,57,42,Open,0
CR000137,Mysuru,Mysuru PS 4,Robbery,2023-02-07,12.340005,76.591866,43,35,Under Investigation,1
CR000138,Shivamogga,Shivamogga PS 5,Theft,2023-04-24,13.75586,75.524589,46,20,Charge Sheet Filed,0
CR000139,Ballari,Ballari PS 3,Vehicle Theft,2025-01-18,15.147268,77.007966,33,57,Charge Sheet Filed,1
CR000140,Tumakuru,Tumakuru PS 5,Cybercrime,2024-07-10,13.394234,77.159465,44,55,Charge Sheet Filed,0
CR000141,Vijayapura,Vijayapura PS 1,Cybercrime,2023-01-31,16.821844,75.717336,60,47,Closed,0
CR000142,Dharwad,Dharwad PS 2,Fraud,2024-08-11,15.447614,75.007971,49,30,Under Investigation,0
CR000143,Tumakuru,Tumakuru PS 1,Drug Offence,2023-08-11,13.32984,77.110486,36,47,Closed,0
CR000144,Mysuru,Mysuru PS 4,Assault,2023-12-01,12.304577,76.659826,67,21,Closed,0
CR000145,Mangaluru,Mangaluru PS 1,Burglary,2025-06-04,12.973852,74.779841,35,31,Charge Sheet Filed,0
CR000146,Dharwad,Dharwad PS 3,Cybercrime,2024-01-16,15.427446,74.999372,50,23,Closed,0
CR000147,Belagavi,Belagavi PS 3,Burglary,2024-06-21,15.84405,74.436453,21,34,Closed,0
CR000148,Kalaburagi,Kalaburagi PS 5,Vehicle Theft,2023-03-16,17.385793,76.899827,44,20,Open,1
CR000149,Ballari,Ballari PS 4,Vehicle Theft,2023-01-21,15.047061,76.893067,55,32,Under Investigation,0
CR000150,Bengaluru Urban,Bengaluru PS 1,Drug Offence,2024-06-07,12.913439,77.722803,44,25,Charge Sheet Filed,0
CR000151,Bengaluru Urban,Bengaluru PS 5,Vehicle Theft,2024-06-03,13.000088,77.616985,69,24,Closed,0
CR000152,Shivamogga,Shivamogga PS 4,Burglary,2025-06-17,13.921819,75.501036,47,31,Closed,0
CR000153,Dharwad,Dharwad PS 4,Theft,2024-11-08,15.430206,74.98458,39,19,Charge Sheet Filed,0
CR000154,Bengaluru Urban,Bengaluru PS 5,Burglary,2023-11-16,12.988025,77.590986,55,49,Closed,0
CR000155,Bengaluru Urban,Bengaluru PS 4,Fraud,2024-02-29,12.970391,77.56605,41,58,Open,0
CR000156,Mangaluru,Mangaluru PS 4,Assault,2024-11-03,12.903052,74.857344,50,19,Open,0
CR000157,Bengaluru Urban,Bengaluru PS 5,Assault,2024-10-27,12.921519,77.580545,56,43,Under Investigation,0
CR000158,Mysuru,Mysuru PS 2,Robbery,2024-03-03,12.309576,76.599473,20,23,Open,1
CR000159,Kalaburagi,Kalaburagi PS 1,Burglary,2024-12-16,17.349363,76.868372,37,64,Closed,0
CR000160,Dharwad,Dharwad PS 4,Fraud,2023-11-10,15.453859,75.082728,58,59,Under Investigation,0
CR000161,Mangaluru,Mangaluru PS 4,Robbery,2024-06-07,12.862521,74.829535,72,49,Closed,0
CR000162,Mangaluru,Mangaluru PS 2,Cybercrime,2024-10-23,12.9394,74.756129,20,45,Under Investigation,0
CR000163,Mangaluru,Mangaluru PS 1,Robbery,2023-11-28,12.970663,74.842263,54,21,Charge Sheet Filed,0
CR000164,Dharwad,Dharwad PS 4,Drug Offence,2024-07-15,15.470123,75.060155,53,51,Charge Sheet Filed,0
CR000165,Mysuru,Mysuru PS 4,Fraud,2023-10-22,12.328416,76.56058,71,29,Closed,0
CR000166,Ballari,Ballari PS 5,Robbery,2025-01-06,15.159481,76.887119,65,47,Closed,0
CR000167,Mysuru,Mysuru PS 5,Vehicle Theft,2024-07-06,12.32298,76.620869,64,31,Charge Sheet Filed,0
CR000168,Dharwad,Dharwad PS 2,Robbery,2025-04-17,15.392646,75.061453,45,19,Closed,0
CR000169,Bengaluru Urban,Bengaluru PS 4,Drug Offence,2024-11-06,12.969254,77.618452,28,27,Closed,0
CR000170,Vijayapura,Vijayapura PS 5,Burglary,2025-04-23,16.817237,75.771684,37,25,Closed,1
CR000171,Tumakuru,Tumakuru PS 4,Assault,2023-05-01,13.259064,77.161285,29,54,Open,1
CR000172,Ballari,Ballari PS 4,Robbery,2024-12-19,15.2186,77.03679,37,31,Under Investigation,0
CR000173,Shivamogga,Shivamogga PS 4,Burglary,2025-03-07,13.868033,75.599562,54,22,Open,0
